	subjid	epochs	badchans	Quality (1<bad> - 5<good>)	Description	Resolution	Movement	DAQFlairing
 'sub-ON68840/ses-01/meg/sub-ON68840_ses-01_task-rest_run-01_meg.ds'	ON68840	2	['MRO11']	4.5	Minor Muscle Artifact (successfully cut from epochs)			
 'sub-ON69163/ses-01/meg/sub-ON69163_ses-01_task-rest_run-01_meg.ds'	ON69163	6		5	Some muscle tension associated with eye squinting			
 'sub-ON70467/ses-01/meg/sub-ON70467_ses-01_task-rest_run-01_meg.ds'	ON70467	0		5	**Super clean and good neurophys			
 'sub-ON72082/ses-01/meg/sub-ON72082_ses-01_task-rest_run-01_meg.ds'	ON72082	1		5	Not the highest SNR, because of moderate signal amplitude (don’t want to penalize for smaller heads)			
 'sub-ON72409/ses-01/meg/sub-ON72409_ses-01_task-rest_run-01_meg.ds'	ON72409	4		5	Some clipped low amplitude muscle			
 'sub-ON73200/ses-1/meg/sub-ON73200_ses-1_task-rest_run-01_meg.ds'	ON73200	5		4 (eyes open?)	Is this eyes open – maybe 50 blinks during run - some muscle tension removed			
 'sub-ON73969/ses-01/meg/sub-ON73969_ses-01_task-rest_run-01_meg.ds'	ON73969	7		4	Some intermixed muscle – good signal and generally clean			
 'sub-ON75100/ses-1/meg/sub-ON75100_ses-1_task-rest_run-01_meg.ds'	ON75100	1		5	**Super clean and good neurophys  (1  muscle artifact removed -- 1 or 2 instances of eye movement left in)			
 'sub-ON76144/ses-1/meg/sub-ON76144_ses-1_task-rest_run-01_meg.ds'	ON76144	0		5	**Super clean and good neurophys : No muscle – a few eye movements and jaw adjustment			
 'sub-ON76320/ses-1/meg/sub-ON76320_ses-1_task-rest_run-01_meg.ds'	ON76320	6		5	DAQ flairing - cleaned up by epoch rejection - ICA may clean fully without rej epochs			1
 'sub-ON76525/ses-1/meg/sub-ON76525_ses-1_task-rest_run-01_meg.ds'	ON76525	1		3.5	Low freq front-temporal (0.5hz-1) artifact  -- Cleans nicely with 1hz filter			
 'sub-ON76625/ses-1/meg/sub-ON76625_ses-1_task-rest_run-01_meg.ds'	ON76625	4		4	Offset/Onset ringing - low amplitude - some small low frequency - small spike pops			
 'sub-ON77753/ses-1/meg/sub-ON77753_ses-1_task-rest_run-01_meg.ds'	ON77753	5		4.5	DAQ flairing + eye movement (not removed) + offset/onset buzz + 1 muscle removed			1
 'sub-ON80038/ses-01/meg/sub-ON80038_ses-01_task-rest_run-01_meg.ds'	ON80038	0		4	Persistent low amplitude fronto-temporal spiking (jaw/forehead muscle tension?)			
 'sub-ON81734/ses-01/meg/sub-ON81734_ses-01_task-rest_run-01_meg.ds'	ON81734	1		4.5	DAQ flairing (removed by epoch)			1
 'sub-ON82386/ses-01/meg/sub-ON82386_ses-01_task-rest_run-01_meg.ds'	ON82386	1		4.5	Low amplitude frontal central slow + 1 removed muscle			
 'sub-ON83320/ses-1/meg/sub-ON83320_ses-1_task-rest_run-01_meg.ds'	ON83320	5		5	DAQ flairing (removed)			1
 'sub-ON84201/ses-1/meg/sub-ON84201_ses-1_task-rest_run-01_meg.ds'	ON84201	5		4.5	OOS error (crops 40% of data) + a few removed muscle clenches			
 'sub-ON84651/ses-01/meg/sub-ON84651_ses-01_task-rest_run-01_meg.ds'	ON84651	14		4.5	Moderate number of Muscle Artifacts (clipped) - moderate amplitude neuro + low noise			
 'sub-ON84896/ses-01/meg/sub-ON84896_ses-01_task-rest_run-01_meg.ds'	ON84896	0		3	Left dominant fronto temporal period (non-sinusoidal) artifact - otherwise low noise			
 'sub-ON85010/ses-1/meg/sub-ON85010_ses-1_task-rest_run-01_meg.ds'	ON85010	7		4.5	Onset Ringing + DAQ flairing			1
 'sub-ON85301/ses-1/meg/sub-ON85301_ses-1_task-rest_run-01_meg.ds'	ON85301	10		4	Fairly continuous Temporal muscle artifact + DAQ flairing			
 'sub-ON85305/ses-01/meg/sub-ON85305_ses-01_task-rest_run-01_meg.ds'	ON85305	0	['MLT36']	4.5	Very low freq/amp frontal only artifact + rtemporal channels noise non-stationarity			
 'sub-ON85400/ses-1/meg/sub-ON85400_ses-1_task-rest_run-01_meg.ds'	ON85400	9		4	Beginnning/Ending ringing + Some temporal noise + a few muscle contractions + 1 possible DAQ flairing of moderate size			1
 'sub-ON85514/ses-1/meg/sub-ON85514_ses-1_task-rest_run-01_meg.ds'	ON85514	5	['MRF11']	5	Beginning/Ending ringing + two minor low amplitude step jumps on a few chans			
 'sub-ON85616/ses-01/meg/sub-ON85616_ses-01_task-rest_run-01_meg.ds'	ON85616	3		5	DAQ flairing (cropped, but should be ICAed out) - lost a lot of data			1
 'sub-ON86202/ses-01/meg/sub-ON86202_ses-01_task-rest_run-01_meg.ds'	ON86202	1		5	Clean data – 1 muscle artifact - some  mild frontotemporal slow, seems like normal activity			
 'sub-ON87304/ses-1/meg/sub-ON87304_ses-1_task-rest_run-01_meg.ds'	ON87304	2		4.5	Clean data – low amplitude			
 'sub-ON87304/ses-1/meg/sub-ON87304_ses-1_task-rest_run-02_meg.ds'	'’			4.5	BAD start/end - Clean but low amplitude frontal and top of head			
 'sub-ON87550/ses-1/meg/sub-ON87550_ses-1_task-rest_run-01_meg.ds'	ON87550			4.5	BAD start – Some eyeblinks with muscle removed. Mild additional temporal noise – but not fluctuating			
 'sub-ON87616/ses-1/meg/sub-ON87616_ses-1_task-rest_run-01_meg.ds'	ON87616	2		3	Low freq whole head periodic slow waves (maybe chest/head rotation) - Low amplitude cortical - signal possibly recoverable			
 'sub-ON87631/ses-1/meg/sub-ON87631_ses-1_task-rest_run-01_meg.ds'	ON87631	3		5	DAQ flairing (2x) – low amplitude burst of 10s dur - nice temporal delta (appears to be physio)			1
 'sub-ON87642/ses-1/meg/sub-ON87642_ses-1_task-rest_run-01_meg.ds'	ON87642	0		4	Beginning/End Ringing – Persistent Fronto-temporal noise(possible tension / possilby machine) - Noise level doesn’t change over time - no muscle contraction			
 'sub-ON87655/ses-1/meg/sub-ON87655_ses-1_task-rest_run-01_meg.ds'	ON87655	3		3.5	General persistent temporal and frontal muscle tension with 3 major jaw clenches (removed) - no major dental artifact or slow			
 'sub-ON87743/ses-1/meg/sub-ON87743_ses-1_task-rest_run-01_meg.ds'	ON87743	10		3.5	DAQ flairing (multiple 10sec flairs) + muscle artifact.  Could possibly get to a 4 with ICA 			1
